J,1,,,D,1,,,M,1,,,V,1,,,L,1,,,M,1,Entreprise
V,2,,,L,2,,,J,2,,,S,2,,,M,2,,,J,2,Entreprise
S,3,,,M,3,,,V,3,,,D,3,,,M,3,,,V,3,Entreprise
D,4,,,M,4,,,S,4,,,L,4,,,J,4,,,S,4,
L,5,,,J,5,,,D,5,,,M,5,,,V,5,,,D,5,
M,6,,,V,6,,,L,6,,,M,6,,,S,6,,,L,6,Formation
M,7,,,S,7,,,M,7,,,J,7,,,D,7,,,M,7,Entreprise
J,8,,,D,8,,,M,8,,,V,8,,,L,8,,,M,8,Entreprise
V,9,,,L,9,,,J,9,,,S,9,,,M,9,,,J,9,Entreprise
S,10,,,M,10,,,V,10,,,D,10,,,M,10,,,V,10,Formation
D,11,,,M,11,,,S,11,,,L,11,,,J,11,,,S,11,
L,12,,,J,12,,,D,12,,,M,12,,,V,12,,,D,12,
M,13,,,V,13,,,L,13,,,M,13,,,S,13,,,L,13,Formation
M,14,,,S,14,,,M,14,,,J,14,,,D,14,,,M,14,Entreprise
J,15,,,D,15,,,M,15,,,V,15,,,L,15,Entreprise,,M,15,Entreprise
V,16,,,L,16,,,J,16,,,S,16,,,M,16,Entreprise,,J,16,Entreprise
S,17,,,M,17,,,V,17,,,D,17,,,M,17,Entreprise,,V,17,Entreprise
D,18,,,M,18,,,S,18,,,L,18,,,J,18,Entreprise,,S,18,
L,19,,,J,19,,,D,19,,,M,19,,,V,19,Entreprise,,D,19,
M,20,,,V,20,,,L,20,,,M,20,,,S,20,,,L,20,Entreprise
M,21,,,S,21,,,M,21,,,J,21,,,D,21,,,M,21,Entreprise
J,22,,,D,22,,,M,22,,,V,22,,,L,22,Formation,,M,22,Entreprise
V,23,,,L,23,,,J,23,,,S,23,,,M,23,Entreprise,,J,23,Entreprise
S,24,,,M,24,,,V,24,,,D,24,,,M,24,Entreprise,,V,24,Entreprise
D,25,,,M,25,,,S,25,,,L,25,,,J,25,Entreprise,,S,25,Ferie
L,26,,,J,26,,,D,26,,,M,26,,,V,26,Formation,,D,26,
M,27,,,V,27,,,L,27,,,M,27,,,S,27,,,L,27,Entreprise
M,28,,,S,28,,,M,28,,,J,28,,,D,28,,,M,28,Entreprise
J,29,,,D,29,,,M,29,,,V,29,,,L,29,Formation,,M,29,Entreprise
V,30,,,L,30,,,J,30,,,S,30,,,M,30,Entreprise,,J,30,Entreprise
S,31,,,M,31,,,,,,,D,31,,,,,,,V,31,Entreprise
